Lp	Lon	Lat	ROrder	AbiotType	Geol	Site	River	RBasin	Ecoreg	Mon	Year	Dist	Alt	Width	Dam	Lake	Geomor	FloodVal	Source	FlowDis	BasinArea	AvT	AvJanT	AvJulT	WaterT	FiReach	FiWidth	FiArea	FiDepth	Slope	Tree	Bush	Subs	Substr	Flow	Cond	Ripar	FishSp	spirl	bitt	pred	Asp	Perch	fario	Lota	Zander	Ruffe	Wels	Chubb	Acat	Rain	trutta	Brook	Eel
1	19.123036	49.488139	2	12	calc	PonizejmUjsoLa	Ujsola	Wisla	10	9	2011	12	524.5	12	No	No	NatStra	Yes	snow	No	98.7	7.8	-4	17	17.4	280	5	1400	60	6.1	Yes	Yes	5	GravSton	2	240	field	5	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0
1	16.91516	51.46856	3	19	orga	ujsciedoBaryczyzmigrodek	Sasiecznica	Odra	14	10	2017	32	87	8	No	No	Sine	Yes	rain	Yes	490	9.1	-1.1	19.9	11.2	250	5	1250	160	0.3	No	No	1	MudClay	0.05	567.8	meadow	10	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
6	19.935464	49.27625	3	2	calc	PolanaMLyniska	StrazyskiPotok	Wisla	10	9	2011	2.5	824	12	No	No	NatStra	No	snow	No	4	5.8	-4	15.7	14.5	200	1.5	300	15	6.4	Yes	No	5	GravSton	2.5	273	forest	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
9	20.107058	49.256297	3	19	sili	PalenicaBiaLczanska	Bialka	Wisla	10	9	2011	10.5	969.8	12	No	No	NatStra	No	snow	No	63.1	5.8	-4	15.7	13.2	300	6	1800	30	35	No	No	5	GravSton	1.8	103	meadow	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
11	19.660578	49.478036	4	12	calc	SoslinaKasperkowa	Syhlec	Dunaj	10	8	2011	14	619.5	14	Yes	No	RegMean	Yes	snow	Yes	33	5.8	-4	15.7	14	200	5	1000	70	4	Yes	Yes	3	GravSton	0.7	270	builtroad	6	1	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0
11	16.120475	51.659642	2	19	sili	Przedmoscie	Rudna	Odra	14	10	2017	30	71.9	5	No	No	NatStra	No	rain	No	392	9	-0.9	18.1	12.2	150	5	750	70	0.1	No	No	1	MudClay	0.23	345	field	11	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
17	19.643819	49.678447	3	12	calc	Skawica	Skawica	Wisla	10	10	2011	17	416	30	Yes	No	RegMean	Yes	snow	Yes	139.3	5.8	-4	15.7	17	200	7	1400	30	11.7	Yes	Yes	5	GravSton	2.5	160	builtroad	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
21	18.847214	49.774594	2	12	sili	GorkiWielkie	Brennica	Wisla	10	8	2011	15.7	330	25	Yes	No	RegMean	Yes	snow	Yes	89.5	5.8	-4	15.7	16	230	5	1150	50	9.96	Yes	Yes	3	GravSton	0.7	220	builtroad	6	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0
22	16.76548	51.48122	3	17	orga	drogazmigrodWinskoBielawy	lacha	Odra	14	10	2017	112.6	87.7	5	No	No	NatStra	No	rain	No	34	9.2	-0.9	18.1	11.9	200	5	1000	110	1.2	Yes	Yes	1	MudClay	0.1	724.2	field	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	18.245556	50.278611	2	19	sili	Bierawa	Bierawka	Odra	14	10	2017	51	213	10	No	No	Sine	No	rain	No	323	9.2	-0.9	19.2	13.3	200	10	2000	80	0.6	No	No	3	sand	0.38	9830	forest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	18.00733	50.45322	1	0	sili	Obrowiec	Odra	MorBalt	14	10	2017	191	159.8	90	No	No	Sine	Yes	rain	No	8247	9.2	-0.9	19.2	14.1	900	2	1800	250	0.2	Yes	Yes	3	sand	NA	1656	field	9	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
27	18.82971	49.8636	2	6	calc	IlownicaSutaDroga	Bajerka	Wisla	14	9	2011	7.1	264	2	No	No	RegMean	No	rain	No	9.4	7.5	-1.8	17.8	12.5	120	3	360	30	1.43	No	No	5	sand	0.6	240	forest	6	0	0	3	0	1	0	0	0	0	0	1	1	0	0	0	0
33	18.94938	49.90191	2	6	calc	Burzej	Ilownica	Wisla	10	6	2011	21.7	246	4	Yes	No	NatStra	No	snow	Yes	64	7.5	-1.8	17.8	19	100	5	500	30	0.96	No	No	1	sand	0.2	370	meadow	8	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0
33	18.20809	50.35258	2	19	sili	KedzierzynKozle	Klodnica	Odra	14	10	2017	73	172	13	Yes	No	Sine	Yes	rain	No	1123	9.2	-0.9	19.2	16.5	250	4	1000	85	1.04	Yes	Yes	3	sand	0.85	3912	builtroad	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
36	18.29519	50.67294	2	19	sili	zedowice	MalaPanew	Odra	14	10	2017	108	217	10	No	No	Sine	No	rain	No	1834	9.2	-0.9	19.2	10.4	200	10	2000	35	0.67	Yes	Yes	3	sand	0.25	508	forest	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
41	18.94608	49.92068	1	19	sili	Zabrzeg	Wisla	MorBalt	10	7	2011	63	243	25	Yes	No	RegMean	Yes	snow	Yes	523	7.5	-1.8	17.8	18	850	10	8500	80	0.66	Yes	No	1	sand	1.2	210	builtroad	13	0	0	5	0	1	0	1	0	1	0	0	1	0	0	0	1
42	18.14478	50.35263	1	19	sili	ponizejujsciaKLodnicyKedzierzynK	Odra	MorBalt	14	10	2017	173	166.8	60	No	No	Sine	Yes	rain	No	5944	9.2	-0.9	19.2	14.6	600	2.5	1500	200	1	No	No	1	sand	NA	1810	builtroad	11	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0
